"id","name","value"
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
1,"someval",28
2,"x",32
3,"y",88
